id,meeting_id,contact_id,email,name,position_title,attended,created_at,updated_at
39,23,13.0,steve@traxidy.com,Steve Sammy,Manager,0,2022-01-23 04:25:23,2022-01-23 04:25:23
40,23,42.0,steve.mcbroom@traxidy.com,Steve McBroom,Project Manager / PMO,0,2022-01-23 04:25:23,2022-01-23 04:25:23
41,24,1.0,JW@rogattnet.au,Janice Wong,Director,0,2022-01-23 04:25:23,2022-01-23 04:25:23
42,24,13.0,steve@traxidy.com,Steve Sammy,Manager,0,2022-01-23 04:25:23,2022-01-23 04:25:23
43,24,42.0,steve.mcbroom@traxidy.com,Steve McBroom,Project Manager / PMO,0,2022-01-23 04:25:23,2022-01-23 04:25:23
44,25,1.0,JW@rogattnet.au,Janice Wong,Director,0,2022-01-23 04:25:23,2022-01-23 04:25:23
45,25,13.0,steve@traxidy.com,Steve Sammy,Manager,0,2022-01-23 04:25:23,2022-01-23 04:25:23
46,25,42.0,steve.mcbroom@traxidy.com,Steve McBroom,Project Manager / PMO,0,2022-01-23 04:25:23,2022-01-23 04:25:23
47,26,53.0,misterclient@newclient.com,Mister Client,Owner,0,2022-02-07 02:26:50,2022-02-07 02:26:50
48,27,55.0,madame.client@newcompany2.com,Madame Client,Sponsor,0,2022-02-07 02:49:47,2022-02-07 02:49:47
49,28,55.0,madame.client@newcompany2.com,Madame Client,Sponsor,0,2022-02-07 02:49:47,2022-02-07 02:49:47
50,29,55.0,madame.client@newcompany2.com,Madame Client,Sponsor,0,2022-02-07 02:49:47,2022-02-07 02:49:47
51,30,55.0,madame.client@newcompany2.com,Madame Client,Sponsor,0,2022-02-07 02:49:47,2022-02-07 02:49:47
52,31,55.0,madame.client@newcompany2.com,Madame Client,Sponsor,0,2022-02-07 02:49:47,2022-02-07 02:49:47
53,32,65.0,ddd@lll.com,team member 1 last name1,,0,2022-02-15 13:50:06,2022-02-15 13:50:06
54,33,67.0,Test02@gmail.com,Prod User,HOD,0,2022-02-28 03:52:03,2022-02-28 03:52:03
55,33,68.0,Test00@gmail.com,New Contact,Head,0,2022-02-28 03:52:03,2022-02-28 03:52:03
56,34,66.0,muhammad.usman@247labs.com,Muhammad Usman,Reporter,0,2022-02-28 03:55:28,2022-02-28 03:55:28
57,34,67.0,Test02@gmail.com,Prod User,HOD,0,2022-02-28 03:55:28,2022-02-28 03:55:28
58,34,68.0,Test00@gmail.com,New Contact,Head,0,2022-02-28 03:55:28,2022-02-28 03:55:28
91,43,13.0,steve@traxidy.com,Steve Sammy,Manager,1,2022-03-04 11:48:39,2022-03-07 08:13:30
92,43,27.0,traxidy.tester7@gmail.com,Steve Traxidy Tester,Checking Master,1,2022-03-04 11:48:39,2022-03-07 08:13:30
93,43,42.0,steve.mcbroom@traxidy.com,Steve McBroom,Project Manager / PMO,1,2022-03-04 11:48:39,2022-03-07 08:13:30
94,43,43.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,0,2022-03-04 11:48:39,2022-03-04 11:48:39
95,43,44.0,gusmarquez_sr@yahoo.com,Gus Marquez Sr.,Consultant,0,2022-03-04 11:48:39,2022-03-04 11:48:39
96,44,13.0,steve@traxidy.com,Steve Sammy,Manager,1,2022-03-04 11:52:43,2022-10-05 12:36:22
97,44,27.0,traxidy.tester7@gmail.com,Steve Traxidy Tester,Checking Master,1,2022-03-04 11:52:43,2022-10-05 12:36:22
98,44,42.0,steve.mcbroom@traxidy.com,Steve McBroom,Project Manager / PMO,1,2022-03-04 11:52:43,2022-10-05 12:36:22
99,44,43.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,1,2022-03-04 11:52:43,2022-10-05 12:36:22
100,44,44.0,gusmarquez_sr@yahoo.com,Gus Marquez Sr.,Consultant,0,2022-03-04 11:52:43,2022-03-04 11:52:43
101,45,13.0,steve@traxidy.com,Steve Sammy,Manager,1,2022-03-04 11:56:09,2022-03-04 11:56:25
102,45,27.0,traxidy.tester7@gmail.com,Steve Traxidy Tester,Checking Master,1,2022-03-04 11:56:09,2022-03-04 11:56:25
103,45,42.0,steve.mcbroom@traxidy.com,Steve McBroom,Project Manager / PMO,1,2022-03-04 11:56:09,2022-03-04 11:56:25
104,45,43.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,1,2022-03-04 11:56:09,2022-03-04 11:56:25
105,45,44.0,gusmarquez_sr@yahoo.com,Gus Marquez Sr.,Consultant,0,2022-03-04 11:56:09,2022-03-04 11:56:09
121,49,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,0,2022-03-09 12:14:54,2022-03-09 12:14:54
122,49,8.0,sss@traxidy.com,Shally Singh-Smith,Director,1,2022-03-09 12:14:54,2022-04-11 13:22:41
123,49,,steve@traxidy.com,Steve Sammy,Manager,1,2022-03-09 12:14:54,2022-04-11 13:22:41
124,49,,traxidy.tester7@gmail.com,traxidy Tester7,For test purposes,0,2022-03-09 12:14:54,2022-03-09 12:14:54
125,49,,redari.chervesko@xcgi.com,Redari Chervesko,Technical Lead,1,2022-03-09 12:14:54,2022-04-11 13:22:41
151,58,102.0,whoward@dbnj.com,William Howard,Team Manager,0,2022-03-12 13:02:26,2022-03-12 13:02:26
152,58,103.0,boswald@dbnj.com,B. Oswald,Manager,0,2022-03-12 13:02:26,2022-03-12 13:02:26
153,58,104.0,mpedecine@dbnj.com,M. Pedecine,Manager,0,2022-03-12 13:02:26,2022-03-12 13:02:26
154,58,105.0,traxidy@gmail.com,Steve McBroom,,0,2022-03-12 13:02:26,2022-03-12 13:02:26
155,59,102.0,whoward@dbnj.com,William Howard,Team Manager,0,2022-03-12 13:02:26,2022-03-12 13:02:26
156,59,103.0,boswald@dbnj.com,B. Oswald,Manager,1,2022-03-12 13:02:26,2023-02-02 05:56:17
157,59,104.0,mpedecine@dbnj.com,M. Pedecine,Manager,1,2022-03-12 13:02:26,2023-02-02 05:56:17
158,59,105.0,traxidy@gmail.com,Steve McBroom,,1,2022-03-12 13:02:26,2023-02-02 05:56:17
159,60,102.0,whoward@dbnj.com,William Howard,Team Manager,0,2022-03-12 13:02:26,2022-03-12 13:02:26
160,60,103.0,boswald@dbnj.com,B. Oswald,Manager,0,2022-03-12 13:02:26,2022-03-12 13:02:26
161,60,104.0,mpedecine@dbnj.com,M. Pedecine,Manager,0,2022-03-12 13:02:26,2022-03-12 13:02:26
162,60,105.0,traxidy@gmail.com,Steve McBroom,,0,2022-03-12 13:02:26,2022-03-12 13:02:26
163,61,102.0,whoward@dbnj.com,William Howard,Team Manager,0,2022-03-12 13:02:26,2022-03-12 13:02:26
164,61,103.0,boswald@dbnj.com,B. Oswald,Manager,0,2022-03-12 13:02:26,2022-03-12 13:02:26
165,61,104.0,mpedecine@dbnj.com,M. Pedecine,Manager,0,2022-03-12 13:02:26,2022-03-12 13:02:26
166,61,105.0,traxidy@gmail.com,Steve McBroom,,0,2022-03-12 13:02:26,2022-03-12 13:02:26
167,62,102.0,whoward@dbnj.com,William Howard,Team Manager,0,2022-03-12 13:02:26,2022-03-12 13:02:26
168,62,103.0,boswald@dbnj.com,B. Oswald,Manager,0,2022-03-12 13:02:26,2022-03-12 13:02:26
169,62,104.0,mpedecine@dbnj.com,M. Pedecine,Manager,0,2022-03-12 13:02:26,2022-03-12 13:02:26
170,62,105.0,traxidy@gmail.com,Steve McBroom,,0,2022-03-12 13:02:26,2022-03-12 13:02:26
191,70,,richard_austin@rogers.com,Richard Austin,Boffin,0,2022-03-24 07:31:52,2022-03-24 07:31:52
192,70,,traxidy.tester7@gmail.com,H. Reader,For test purposes,0,2022-03-24 07:31:52,2022-03-24 07:31:52
193,70,,steve.mcbroom@traxidy.com,Steve McBroom,Project Manager,0,2022-03-24 07:31:52,2022-03-24 07:31:52
194,70,,redari.chervesko@xcgi.com,Redari Chervesko,Technical Lead,0,2022-03-24 07:31:52,2022-03-24 07:31:52
195,70,111.0,traxidy@gmail.com,Contributor Person,Lead,0,2022-03-24 07:31:52,2022-03-24 07:31:52
199,72,165.0,janice.keay@gmail.com,Janice Keay,,1,2022-03-28 15:07:54,2022-04-09 06:15:09
200,72,167.0,mimi.mcbroom22@gmail.com,Mimi McBroom,,1,2022-03-28 15:07:54,2022-04-09 06:15:09
201,72,168.0,traxidy.tester2@gmail.com,sami mcbroom,,0,2022-03-28 15:07:54,2022-03-28 15:07:54
202,73,165.0,janice.keay@gmail.com,Janice Keay,,0,2022-03-28 15:07:54,2022-03-28 15:07:54
203,73,167.0,mimi.mcbroom22@gmail.com,Mimi McBroom,,0,2022-03-28 15:07:54,2022-03-28 15:07:54
204,73,168.0,traxidy.tester2@gmail.com,sami mcbroom,,0,2022-03-28 15:07:54,2022-03-28 15:07:54
205,74,165.0,janice.keay@gmail.com,Janice Keay,,0,2022-03-28 15:07:54,2022-03-28 15:07:54
206,74,167.0,mimi.mcbroom22@gmail.com,Mimi McBroom,,0,2022-03-28 15:07:54,2022-03-28 15:07:54
207,74,168.0,traxidy.tester2@gmail.com,sami mcbroom,,0,2022-03-28 15:07:54,2022-03-28 15:07:54
208,75,165.0,janice.keay@gmail.com,Janice Keay,,0,2022-03-28 15:07:54,2022-03-28 15:07:54
209,75,167.0,mimi.mcbroom22@gmail.com,Mimi McBroom,,0,2022-03-28 15:07:54,2022-03-28 15:07:54
210,75,168.0,traxidy.tester2@gmail.com,sami mcbroom,,0,2022-03-28 15:07:54,2022-03-28 15:07:54
211,76,168.0,traxidy.tester2@gmail.com,sami mcbroom,,0,2022-03-28 15:21:42,2022-03-28 15:21:42
212,71,165.0,janice.keay@gmail.com,Janice Keay,,1,2022-03-28 15:25:49,2022-04-09 06:17:59
213,71,166.0,mimimcbroom22@gmail.com,jk keay,,0,2022-03-28 15:25:49,2022-03-28 15:25:49
214,71,167.0,mimi.mcbroom22@gmail.com,Mimi McBroom,,1,2022-03-28 15:25:49,2022-04-09 06:17:59
215,71,168.0,traxidy.tester2@gmail.com,sami mcbroom,,1,2022-03-28 15:25:49,2022-04-09 06:17:59
216,77,163.0,steve.mcbroom@gmail.com,Steve McBroom,,1,2022-03-28 15:27:16,2022-03-28 15:27:35
217,77,165.0,janice.keay@gmail.com,Janice Keay,,1,2022-03-28 15:27:16,2022-03-28 15:27:35
218,77,166.0,mimimcbroom22@gmail.com,jk keay,,1,2022-03-28 15:27:16,2022-03-28 15:27:35
219,77,167.0,mimi.mcbroom22@gmail.com,Mimi McBroom,,1,2022-03-28 15:27:16,2022-03-28 15:27:35
220,77,168.0,traxidy.tester2@gmail.com,sami mcbroom,,0,2022-03-28 15:27:16,2022-03-28 15:27:16
221,78,165.0,janice.keay@gmail.com,Janice Keay,,1,2022-03-28 15:30:29,2022-03-28 15:30:58
222,78,167.0,mimi.mcbroom22@gmail.com,Mimi McBroom,,1,2022-03-28 15:30:29,2022-03-28 15:30:58
223,78,168.0,traxidy.tester2@gmail.com,sami mcbroom,,0,2022-03-28 15:30:29,2022-03-28 15:30:29
224,79,168.0,traxidy.tester2@gmail.com,sami mcbroom,,0,2022-03-28 15:34:20,2022-03-28 15:34:20
225,84,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,1,2022-03-31 13:39:56,2022-04-11 13:34:11
226,84,8.0,sss@traxidy.com,Sal Nuberg,Director,1,2022-03-31 13:39:56,2022-04-11 13:34:11
227,84,12.0,jan.dietrich@traxidy.com,Janet Dietrich,CMO,1,2022-03-31 13:39:56,2022-04-11 13:34:11
228,84,111.0,traxidy@gmail.com,Connie Perl,Lead Tester,1,2022-03-31 13:39:56,2022-04-11 13:34:11
233,86,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,0,2022-03-31 13:39:56,2022-03-31 13:39:56
234,86,8.0,sss@traxidy.com,Sal Nuberg,Director,0,2022-03-31 13:39:56,2022-03-31 13:39:56
235,86,12.0,jan.dietrich@traxidy.com,Janet Dietrich,CMO,0,2022-03-31 13:39:56,2022-03-31 13:39:56
236,86,111.0,traxidy@gmail.com,Connie Perl,Lead Tester,0,2022-03-31 13:39:56,2022-03-31 13:39:56
237,87,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,0,2022-03-31 13:39:56,2022-03-31 13:39:56
238,87,8.0,sss@traxidy.com,Sal Nuberg,Director,0,2022-03-31 13:39:56,2022-03-31 13:39:56
239,87,12.0,jan.dietrich@traxidy.com,Janet Dietrich,CMO,0,2022-03-31 13:39:56,2022-03-31 13:39:56
240,87,111.0,traxidy@gmail.com,Connie Perl,Lead Tester,0,2022-03-31 13:39:56,2022-03-31 13:39:56
241,88,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,0,2022-03-31 13:39:56,2022-03-31 13:39:56
242,88,8.0,sss@traxidy.com,Sal Nuberg,Director,0,2022-03-31 13:39:56,2022-03-31 13:39:56
243,88,12.0,jan.dietrich@traxidy.com,Janet Dietrich,CMO,0,2022-03-31 13:39:56,2022-03-31 13:39:56
244,88,111.0,traxidy@gmail.com,Connie Perl,Lead Tester,0,2022-03-31 13:39:56,2022-03-31 13:39:56
245,89,6.0,TJS@delkjyar.ci,T.J. Shalmark,Team Lead,0,2022-03-31 13:40:43,2022-03-31 13:40:43
246,89,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,1,2022-03-31 13:40:43,2022-03-31 13:41:34
247,89,8.0,sss@traxidy.com,Sal Nuberg,Director,0,2022-03-31 13:40:43,2022-03-31 13:40:43
248,89,111.0,traxidy@gmail.com,Connie Perl,Lead Tester,1,2022-03-31 13:40:43,2022-03-31 13:41:34
249,89,158.0,gordmott144@gmail.com,Gene Moss,Researcher,1,2022-03-31 13:40:43,2022-03-31 13:41:34
250,90,6.0,TJS@delkjyar.ci,T.J. Shalmark,Team Lead,1,2022-03-31 13:40:43,2022-04-11 13:26:39
251,90,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,1,2022-03-31 13:40:43,2022-04-11 13:26:39
252,90,8.0,sss@traxidy.com,Sal Nuberg,Director,1,2022-03-31 13:40:43,2022-04-11 13:26:39
253,90,111.0,traxidy@gmail.com,Connie Perl,Lead Tester,1,2022-03-31 13:40:43,2022-04-11 13:26:39
254,90,158.0,gordmott144@gmail.com,Gene Moss,Researcher,0,2022-03-31 13:40:43,2022-03-31 13:40:43
255,91,6.0,TJS@delkjyar.ci,T.J. Shalmark,Team Lead,1,2022-03-31 13:40:43,2022-05-04 07:09:06
256,91,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,1,2022-03-31 13:40:43,2022-05-04 07:09:06
257,91,8.0,sss@traxidy.com,Sal Nuberg,Director,1,2022-03-31 13:40:43,2022-05-04 07:09:06
258,91,111.0,traxidy@gmail.com,Connie Perl,Lead Tester,1,2022-03-31 13:40:43,2022-05-04 07:09:06
259,91,158.0,gordmott144@gmail.com,Gene Moss,Researcher,1,2022-03-31 13:40:43,2022-05-04 07:09:06
260,92,6.0,TJS@delkjyar.ci,T.J. Shalmark,Team Lead,0,2022-03-31 13:40:43,2022-03-31 13:40:43
261,92,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,0,2022-03-31 13:40:43,2022-03-31 13:40:43
262,92,8.0,sss@traxidy.com,Sal Nuberg,Director,0,2022-03-31 13:40:43,2022-03-31 13:40:43
263,92,111.0,traxidy@gmail.com,Connie Perl,Lead Tester,0,2022-03-31 13:40:43,2022-03-31 13:40:43
264,92,158.0,gordmott144@gmail.com,Gene Moss,Researcher,0,2022-03-31 13:40:43,2022-03-31 13:40:43
265,93,6.0,TJS@delkjyar.ci,T.J. Shalmark,Team Lead,0,2022-03-31 13:40:43,2022-03-31 13:40:43
266,93,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,0,2022-03-31 13:40:43,2022-03-31 13:40:43
267,93,8.0,sss@traxidy.com,Sal Nuberg,Director,0,2022-03-31 13:40:43,2022-03-31 13:40:43
268,93,111.0,traxidy@gmail.com,Connie Perl,Lead Tester,0,2022-03-31 13:40:43,2022-03-31 13:40:43
269,93,158.0,gordmott144@gmail.com,Gene Moss,Researcher,0,2022-03-31 13:40:43,2022-03-31 13:40:43
270,94,168.0,traxidy.tester2@gmail.com,sami mcbroom,,0,2022-03-31 14:22:50,2022-03-31 14:22:50
271,95,168.0,traxidy.tester2@gmail.com,sami mcbroom,,0,2022-03-31 14:22:50,2022-03-31 14:22:50
272,96,168.0,traxidy.tester2@gmail.com,sami mcbroom,,0,2022-03-31 14:22:50,2022-03-31 14:22:50
273,97,168.0,traxidy.tester2@gmail.com,sami mcbroom,,0,2022-03-31 14:22:50,2022-03-31 14:22:50
274,98,168.0,traxidy.tester2@gmail.com,sami mcbroom,,0,2022-03-31 14:22:50,2022-03-31 14:22:50
276,100,163.0,steve.mcbroom@gmail.com,Steve McBroom,,1,2022-03-31 14:36:46,2022-03-31 14:46:11
277,100,167.0,mimi.mcbroom22@gmail.com,Mimi McBroom,,1,2022-03-31 14:36:46,2022-03-31 14:46:11
278,100,168.0,traxidy.tester2@gmail.com,sami mcbroom,,0,2022-03-31 14:36:46,2022-03-31 14:36:46
279,102,182.0,mitchel.mcbroom@gmail.com,Mitchel McBroom,Analyst,0,2022-04-04 09:35:00,2022-04-04 09:35:00
280,104,36.0,mitchel.mcbroom@gmail.com,Mitchel McBroom,ATMS Maintenance & Config,0,2022-04-05 12:28:49,2022-04-05 12:28:49
281,105,6.0,TJS@delkjyar.ci,T.J. Shalmark,Team Lead,1,2022-04-12 08:55:27,2022-04-12 09:26:15
282,105,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,1,2022-04-12 08:55:27,2022-04-12 09:26:15
283,105,8.0,sss@traxidy.com,Sal Nuberg,Director,1,2022-04-12 08:55:27,2022-04-12 09:26:15
284,105,12.0,jan.dietrich@traxidy.com,Janet Dietrich,CMO,1,2022-04-12 08:55:27,2022-04-12 09:26:15
285,105,111.0,traxidy@gmail.com,Connie Perl,Lead Tester,1,2022-04-12 08:55:27,2022-04-12 09:26:15
286,108,5.0,RR@shalphy.com,Reggy Ralphson,VP Technology,1,2022-05-12 09:41:54,2022-05-12 09:41:54
287,108,76.0,becca_rowat@hotmail.com,Rob Rowatt,Lead Consultant,1,2022-05-12 09:41:54,2022-05-12 09:41:54
288,108,158.0,gordmott144@gmail.com,Gene Moss,Researcher,1,2022-05-12 09:41:54,2022-05-12 09:41:54
289,109,12.0,jan.dietrich@traxidy.com,Janet Dietrich,CMO,1,2022-07-07 05:14:41,2022-07-07 05:14:41
290,109,76.0,becca_rowat@hotmail.com,Rob Rowatt,Lead Consultant,1,2022-07-07 05:14:41,2022-07-07 05:14:41
291,109,206.0,abeal@traxidy.com,Alley Beal,,1,2022-07-07 05:14:41,2022-07-07 05:14:41
295,112,61.0,steve.mcbroom@traxidy.com,Steve McBroom,PM,1,2022-07-27 07:07:53,2022-07-27 07:07:53
296,112,218.0,brian.capstick@mis3.ca,Brian Capstick,Project Director,1,2022-07-27 07:07:53,2022-07-27 07:07:53
297,113,219.0,sabih@tblocks.com,Sabih Siddiqui,CTO,0,2022-08-10 20:39:43,2022-08-10 20:39:43
298,114,6.0,TJS@delkjyar.ci,T.J. Shalmark,Team Lead,0,2022-09-07 05:11:27,2022-09-07 05:11:27
299,114,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,0,2022-09-07 05:11:27,2022-09-07 05:11:27
300,114,111.0,traxidy@gmail.com,Traxidy Gmail Acct,Lead Tester,0,2022-09-07 05:11:27,2022-09-07 05:11:27
301,114,158.0,gordmott144@gmail.com,Gene Moss,Researcher,0,2022-09-07 05:11:27,2022-09-07 05:11:27
302,114,213.0,steve@traxidy.com,Fred Smith,,0,2022-09-07 05:11:27,2022-09-07 05:11:27
303,115,6.0,TJS@delkjyar.ci,T.J. Shalmark,Team Lead,0,2022-09-07 05:11:27,2022-09-07 05:11:27
304,115,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,0,2022-09-07 05:11:27,2022-09-07 05:11:27
305,115,111.0,traxidy@gmail.com,Traxidy Gmail Acct,Lead Tester,0,2022-09-07 05:11:27,2022-09-07 05:11:27
306,115,158.0,gordmott144@gmail.com,Gene Moss,Researcher,0,2022-09-07 05:11:27,2022-09-07 05:11:27
307,115,213.0,steve@traxidy.com,Fred Smith,,0,2022-09-07 05:11:27,2022-09-07 05:11:27
308,116,6.0,TJS@delkjyar.ci,T.J. Shalmark,Team Lead,0,2022-09-07 05:11:27,2022-09-07 05:11:27
309,116,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,0,2022-09-07 05:11:27,2022-09-07 05:11:27
310,116,111.0,traxidy@gmail.com,Traxidy Gmail Acct,Lead Tester,0,2022-09-07 05:11:27,2022-09-07 05:11:27
311,116,158.0,gordmott144@gmail.com,Gene Moss,Researcher,0,2022-09-07 05:11:27,2022-09-07 05:11:27
312,116,213.0,steve@traxidy.com,Fred Smith,,0,2022-09-07 05:11:27,2022-09-07 05:11:27
313,117,6.0,TJS@delkjyar.ci,T.J. Shalmark,Team Lead,0,2022-09-07 05:11:27,2022-09-07 05:11:27
314,117,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,0,2022-09-07 05:11:27,2022-09-07 05:11:27
315,117,111.0,traxidy@gmail.com,Traxidy Gmail Acct,Lead Tester,0,2022-09-07 05:11:27,2022-09-07 05:11:27
316,117,158.0,gordmott144@gmail.com,Gene Moss,Researcher,0,2022-09-07 05:11:27,2022-09-07 05:11:27
317,117,213.0,steve@traxidy.com,Fred Smith,,0,2022-09-07 05:11:27,2022-09-07 05:11:27
318,118,6.0,TJS@delkjyar.ci,T.J. Shalmark,Team Lead,0,2022-09-07 05:11:27,2022-09-07 05:11:27
319,118,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,0,2022-09-07 05:11:27,2022-09-07 05:11:27
320,118,111.0,traxidy@gmail.com,Traxidy Gmail Acct,Lead Tester,0,2022-09-07 05:11:27,2022-09-07 05:11:27
321,118,158.0,gordmott144@gmail.com,Gene Moss,Researcher,0,2022-09-07 05:11:27,2022-09-07 05:11:27
322,118,213.0,steve@traxidy.com,Fred Smith,,0,2022-09-07 05:11:27,2022-09-07 05:11:27
323,119,7.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,1,2022-09-07 05:14:52,2022-09-07 05:14:52
324,119,158.0,gordmott144@gmail.com,Gene Moss,Researcher,1,2022-09-07 05:14:52,2022-09-07 05:14:52
325,119,206.0,abeal@traxidy.com,Alley Beal,,1,2022-09-07 05:14:52,2022-09-07 05:14:52
326,122,13.0,steve@traxidy.com,Steve Sammy,Manager,1,2022-10-05 12:23:37,2022-10-05 12:23:37
327,122,42.0,steve.mcbroom@traxidy.com,Steve McBroom,Project Manager / PMO,1,2022-10-05 12:23:37,2022-10-05 12:23:37
328,122,44.0,gusmarquez_sr@yahoo.com,Gus Marquez Sr.,Consultant,1,2022-10-05 12:23:37,2022-10-05 12:23:37
329,122,155.0,gordmott144@gmail.com,Gord Mott,Lead Architect,1,2022-10-05 12:23:37,2022-10-05 12:23:37
330,123,43.0,Jshaw@dhelk.au,Jerri Shaw,Section Head,1,2022-10-05 12:33:38,2022-10-05 12:33:38
331,124,225.0,steve.mcbroom@traxidy.com,Steve McBroom,Project Manager,1,2022-10-19 13:32:10,2022-10-19 13:32:10
332,124,229.0,abeal@traxidy.com,Alley Beal,Lead Trainer,1,2022-10-19 13:32:10,2022-10-19 13:32:10
338,126,234.0,steve@theCS.com,Steve McBroom,Project Manager,0,2022-11-02 12:30:02,2022-11-02 12:30:02
339,126,235.0,shelly@theCS.com,Shelly Dart,Purchasing Manager,0,2022-11-02 12:30:02,2022-11-02 12:30:02
340,126,236.0,tigre@shopbuild.us,Sam Tigre,Contractor,0,2022-11-02 12:30:02,2022-11-02 12:30:02
341,126,237.0,rj@thecs.com,R. J. Batherson,Director,0,2022-11-02 12:30:02,2022-11-02 12:30:02
342,126,,'tigre@shopbuild.us,Gerry Shali,General Contractor,0,2022-11-02 12:30:02,2022-11-02 12:30:02
348,128,234.0,steve@theCS.com,Steve McBroom,Project Manager,0,2022-11-02 12:30:02,2022-11-02 12:30:02
